Program,site_id,Site Name,Site ID OPSEL,Opsel,Penyedia MSS,Paket Penyedia MSS,Provinsi,Kabupaten,Kecamatan,Desa,latitude,longitude,radius_km,Transmisi,BW,K2-K3 Kategori,Availability,Accessibility,Retainability,Traffic Total,User,Problem Availability,Sub Problem Category
BTS USO,UXW050,SAMINYAMAU,1917B820700303,TELKOMSEL,PT. Dayamitra Telekomunikasi,,MALUKU UTARA,PULAU MOROTAI,MOROTAI SELATAN BARAT,SAMINYAMAU,2.284945,128.157943,3,,8,,,,,,,,
BTS USO,UYO059,KOMBUT,1904B911600652,TELKOMSEL,PT. Pola Penawar Bangun Semesta,,PAPUA SELATAN,BOVEN DIGOEL,KOMBUT,KOMBUT,-5.84695,140.9254,3,,8,,,,,,,,
BTS USO,UXW048,KORAGO,1901B820700281,TELKOMSEL,PT. Dayamitra Telekomunikasi,,MALUKU UTARA,PULAU MOROTAI,MOROTAI UTARA,KORAGO,2.525652,128.654489,3,,8,,,,,,,,
BTS USO,UXX162,MARSELA,1917B810800178,TELKOMSEL,PT. Dayamitra Telekomunikasi,,MALUKU,MALUKU BARAT DAYA,MARSELA,MARSELA,-8.159203,129.869569,3,,8,,,,,,,,
BTS USO,UXQ078,SUNSEA,1901B530301052,TELKOMSEL,PT. Bintang Komunikasi Utama,,NUSA TENGGARA TIMUR,TIMOR TENGAH UTARA,NAIBENU,SUNSEA,-9.335861,124.4676,3,,8,,,,,,,,
BTS USO,UXW053,LUSUO,1901B820700282,TELKOMSEL,PT. Dayamitra Telekomunikasi,,MALUKU UTARA,PULAU MOROTAI,MOROTAI UTARA,LUSUO,2.5311,128.629,3,,8,,,,,,,,
BTS USO,UXW087,JARA-JARA,1917B820600762,TELKOMSEL,PT. Bintang Komunikasi Utama,,MALUKU UTARA,HALMAHERA TIMUR,MABA UTARA,JARA-JARA,1.57081,128.72116,3,,8,,,,,,,,
BTS USO,UYO181,WAEMEAMAN/KAMPUNG MAGABAG,1903B911700631,TELKOMSEL,PT. Pola Penawar Bangun Semesta,,PAPUA SELATAN,MAPPI,NAMBIOMAN BAPAI,WAEMEAMAN/KAMPUNG MAGABAG,-6.4774665,139.2020882,3,,8,,,,,,,,
BTS USO,UYO202,MAJU,1903B911600642,TELKOMSEL,PT. Pola Penawar Bangun Semesta,,PAPUA SELATAN,BOVEN DIGOEL,ARIMOP,MAJU,-5.73829,140.5488,3,,8,,,,,,,,
BTS USO,UYP070,SYABES,1903B920700888,TELKOMSEL,PT. Bintang Komunikasi Utama,,PAPUA BARAT,TELUK WONDAMA,ROON,SYABES,-2.365,134.523333,3,,8,,,,,,,,
BTS USO,UYO201,KAMPUNG YAME,1903B911700643,TELKOMSEL,PT. Pola Penawar Bangun Semesta,,PAPUA SELATAN,MAPPI,YAKOMI,KAMPUNG YAME,-7.08994,139.8425,3,,8,,,,,,,,
BTS USO,UYP071,WAPRAK,1903B920700887,TELKOMSEL,PT. Bintang Komunikasi Utama,,PAPUA BARAT,TELUK WONDAMA,ROSWAR,WAPRAK,-2.10843,134.3422,3,,8,,,,,,,,
BTS USO,KLS0038,HEGAR MANAH,1905B630900074,XL,PT. Berca Hardayaperkasa,,KALIMANTAN SELATAN,TABALONG,BINTANG ARA,HEGAR MANAH,-1.74505,115.3628,3,,8,,,,,,,,
BTS USO,UXW086,SAMO,1917B820400768,TELKOMSEL,PT. Bintang Komunikasi Utama,,MALUKU UTARA,HALMAHERA SELATAN,GANE BARAT UTARA,SAMO,-0.10756,127.692,3,,8,,,,,,,,
BTS USO,UQM041,SIFAORO'ASI,1901B120400879,TELKOMSEL,PT. Bintang Komunikasi Utama,,SUMATERA UTARA,NIAS,ULUGAWO,SIFAORO'ASI,0.983187,97.706094,3,,8,,,,,,,,
BTS USO,UYP144,"KAIS, JOHSIRO",1919B920400068,TELKOMSEL,PT. Aprillia Profesional Teknologi,,PAPUA BARAT DAYA,SORONG SELATAN,KAIS DARAT,"KAIS, JOHSIRO",-1.58168,132.2824,3,,8,,,,,,,,
